model_id,model_family,architecture,input_features,target,dataset,split_protocol,seeds,parameters,local_asset_count,checkpoint_status,test_status,primary_metric,scientific_status,paper_use_status
historical_cheap_no_dipole,XGBoost,historical fixed trees,541-column historical no-dipole cheap features,J_eh proxy,historical Layer G,paired 7313,42,not comparable,0,CHECKPOINT_MISSING_REPORT_ONLY,opened historically,MAE 0.0702099116 eV,REPRODUCED_NUMERIC,historical benchmark only
historical_b2_0,EquiformerV3 family,historical merged molecular graph,historical 3D contract,J_eh proxy,historical 7316,historical B2,42,unresolved,0,CHECKPOINT_MAPPING_UNRESOLVED_REPORT_ONLY,reported,report-only,REPORT_ONLY,historical context only
historical_b2_1,EquiformerV3 dual tower,donor/acceptor late fusion,historical role-separated 3D,J_eh proxy,historical 7316,historical B2-1,"42;123;456",1065570,3,PRESENT_LOADABLE,opened historically,"historical 0.0794090 +/- 0.0025025 eV; reproduction 0.0781230 +/- 0.0013170",FAILED_FROZEN_THRESHOLD_AGGREGATE,historical benchmark only
historical_b2_2a,EquiformerV3 variant,historical B2-2a,historical 3D contract,J_eh proxy,historical,historical B2-2a,42,unresolved,1,PRESENT_LOADABLE,opened historically,different prediction scope,PROTOCOL_NOT_ALIGNED,historical context only
paper_a_smoothed_memory,historical baselines,report-only,historical features,J_eh proxy,historical external-dev,own protocols,reported,unresolved,0,CHECKPOINT_MISSING_REPORT_ONLY,protocol-specific,report-only,OWN_PROTOCOL_ONLY,historical context only
new_iid_median,constant,weighted train median,no structural input,J_eh_screened_eV_eps3p5 proxy,new15016,IID,deterministic,0,1,PRESENT_LOADABLE,test-once,group MAE 0.141744444 eV,BASELINE,main IID table
new_iid_ridge_c0,Ridge,linear C0,20 descriptors + Morgan512,J_eh_screened_eV_eps3p5 proxy,new15016,IID,deterministic,linear coefficients,1,PRESENT_LOADABLE,test-once,group MAE 0.090387231 eV,BASELINE,main IID table
new_iid_xgb_c0,XGBoost,500 depth-6 trees,20 descriptors + Morgan512,J_eh_screened_eV_eps3p5 proxy,new15016,IID,42 engineering label,500 trees,3 identical seed-labelled assets,PRESENT_LOADABLE,test-once,group MAE 0.084181475 eV,PRIMARY_BASELINE,main IID/OOD benchmark
new_iid_xgb_c1p5,XGBoost,500 depth-6 trees,C0 + PM6 HOMO/LUMO/gap,J_eh_screened_eV_eps3p5 proxy,new15016,IID,42 engineering label,500 trees,3 identical seed-labelled assets,PRESENT_LOADABLE,test-once,group MAE 0.084240369 eV,SECONDARY_CONTROL,main IID/OOD control
new_iid_m3_merged,small invariant 3D,merged radius graph,atomic number + DFT S0 coordinates + role,J_eh_screened_eV_eps3p5 proxy,new15016,IID,"42;123;456",36689,3,PRESENT_LOADABLE,test-once,ensemble group MAE 0.087664065 eV,NEGATIVE_3D_BASELINE,paper negative result
new_iid_m3_dau,small invariant 3D,DAU shared-weight role towers,atomic number + DFT S0 coordinates + role,J_eh_screened_eV_eps3p5 proxy,new15016,IID,"42;123;456",36461,3,PRESENT_LOADABLE,test-once,ensemble group MAE 0.088546137 eV,NEGATIVE_3D_BASELINE,paper negative result
gate2d1_role_aware,XGBoost,role-aware Morgan admission,equal-budget 2D fingerprints,J_eh proxy,new15016,six validation-only protocols,42,500 trees,12,PRESENT_LOADABLE,test sealed,validation-only,ROLE_AWARE_2D_NOT_ADMITTED,negative admission table
gate2d2_molformer,XGBoost + frozen encoder,frozen MoLFormer random projection,532-dimensional continuous features,J_eh proxy,new15016,six validation-only protocols,42,500 trees + frozen encoder,12,PRESENT_LOADABLE,test sealed,validation-only,REPRESENTATION_SIGNAL_INCONCLUSIVE,negative admission table
gate2e1_multitask,MLP multitask,shared trunk + task heads,C0-532,J_eh proxy + auxiliaries,new15016,IID/acceptor validation,"42;123;456",arm-dependent,18,PRESENT_LOADABLE,validation consumed,BLOCKED_RESULT,BLOCKED_MULTITASK_PIPELINE_INTEGRITY,do not use scientifically
gate2e2a_multitask_crossfit,MLP multitask + XGBoost,training-only cross-fit,C0-532,J_eh proxy + 11 auxiliaries,new15016 official train,IID/acceptor 5-fold,"42;123;456",arm-dependent,70,PRESENT_LOADABLE,official validation/test sealed,acceptor delta -0.000353 eV CI crosses 0,MULTITASK_CROSSFIT_INCONCLUSIVE,development evidence only
gate2f1_multifidelity,XGBoost,seven fixed feature arms,C0 + PM6/DFT/delta ground-state features,J_eh proxy,new15016 official train,IID/acceptor 5-fold,42,500 trees,70,PRESENT_LOADABLE,official validation/test sealed,PAIR-C0 -0.000397 eV CI crosses 0,MULTIFIDELITY_SIGNAL_INCONCLUSIVE,development evidence only
gate3a1_deployment,XGBoost,final plus group-bootstrap stability models,C0-532,J_eh_screened_eV_eps3p5 proxy,15015 legal records,full deployment fit,"fixed seeds",500 trees,21,PRESENT_LOADABLE,no candidate labels,computational scoring only,EXPLORATORY_BASELINE_SHORTLIST_FROZEN,not final main-model shortlist
