split_name,partition,records,structure_groups,effective_weight,fraction_records_all15016
iid_group_seed42_v1,historical_quarantine,1,1,1,6.65956313266e-05
iid_group_seed42_v1,test,2319,2195,2195,0.154435269046
iid_group_seed42_v1,train,10387,10248,10248,0.691728822589
iid_group_seed42_v1,val,2309,2195,2195,0.153769312733
donor_cold_v1,historical_quarantine,1,1,1,6.65956313266e-05
donor_cold_v1,test,2251,2224,2224,0.149906766116
donor_cold_v1,train,10530,10218,10218,0.701251997869
donor_cold_v1,val,2234,2196,2196,0.148774640384
acceptor_cold_v1,historical_quarantine,1,1,1,6.65956313266e-05
acceptor_cold_v1,test,2237,2208,2208,0.148974427278
acceptor_cold_v1,train,10543,10225,10225,0.702117741076
acceptor_cold_v1,val,2235,2205,2205,0.148841236015
full_scaffold_cold_v1,historical_quarantine,1,1,1,6.65956313266e-05
full_scaffold_cold_v1,test,2250,2197,2197,0.149840170485
full_scaffold_cold_v1,train,10511,10246,10246,0.699986680874
full_scaffold_cold_v1,val,2254,2195,2195,0.15010655301
pair_cold_v1,historical_quarantine,1,1,1,6.65956313266e-05
pair_cold_v1,test,2309,2191,2191,0.153769312733
pair_cold_v1,train,10387,10257,10257,0.691728822589
pair_cold_v1,val,2319,2190,2190,0.154435269046
both_cold_external_test_v1,buffer,3291,3234,3234,0.219166222696
both_cold_external_test_v1,historical_quarantine,1,1,1,6.65956313266e-05
both_cold_external_test_v1,test,587,587,587,0.0390916355887
both_cold_external_test_v1,train,9345,9195,9195,0.622336174747
both_cold_external_test_v1,val,1792,1622,1622,0.119339371337
